title,artist,genre
Ramshackle,Beck,"alternative, experimental, folk, indie_rock, singer_songwriter, 90s, acoustic, american, male_vocalists, mellow"
L'Via L'Viaquez,The Mars Volta,"experimental, progressive_rock, psychedelic"
Recess,Muse,"rock, alternative, alternative_rock, experimental, progressive_rock, british, industrial, love, britpop"
Heart It Races,Architecture in Helsinki,"indie, experimental, indie_rock, psychedelic, indie_pop"
Winters Love,Animal Collective,"indie, experimental, folk, indie_rock, acoustic, psychedelic, love, beautiful, mellow"
A Poor Man's Memory,Explosions in the Sky,"experimental, instrumental, post_rock"
San Francisco,Foxygen,"rock, indie, experimental, indie_rock, psychedelic, american, indie_pop, mellow, chill"
Murderers,John Frusciante,"rock, alternative, experimental, instrumental, singer_songwriter, guitar, chill"
Interlude With Ludes,Them Crooked Vultures,"rock, alternative_rock, experimental, hard_rock, progressive_rock, psychedelic, american, psychedelic_rock, 00s"
Cards & Quarters,Local Natives,"indie, experimental, folk, indie_rock, american, indie_pop, 00s, chill"
Am I Wry? No,Mew,"alternative, indie, experimental, indie_rock, progressive_rock, indie_pop, beautiful"
Gun Street Girl,Tom Waits,"experimental, folk, singer_songwriter, 80s, blues, acoustic, male_vocalists, avant_garde"
We're No Here,Mogwai,"experimental, indie_rock, instrumental, post_rock"
"Island, IS",Volcano Choir,"electronic, indie, experimental, folk, 00s"
Ddiamondd,Battles,"experimental, post_rock, noise, avant_garde"
Husks and Shells,Volcano Choir,"indie, experimental, folk, singer_songwriter, acoustic, beautiful"
Leyendecker,Battles,"indie, experimental, instrumental, post_rock, american, avant_garde"
Retreat! Retreat!,65daysofstatic,"experimental, instrumental, post_rock"
Maybe You Can Owe Me,Architecture in Helsinki,"indie, experimental, indie_pop, mellow"
Stereo,Pavement,"indie, experimental, indie_rock, 90s, noise"
Wait for the Summer,Yeasayer,"rock, indie, experimental, folk, psychedelic, beautiful, psychedelic_rock, 00s"
Feeling Yourself Disintegrate,The Flaming Lips,"rock, alternative, indie, experimental, indie_rock, singer_songwriter, 90s, psychedelic, american, psychedelic_rock, mellow"
Priceless,Incubus,"rock, alternative, alternative_rock, experimental, hard_rock, american, 00s"
Wax Simulacra,The Mars Volta,"experimental, progressive_rock, psychedelic, 00s"
My Lady Story,Antony and the Johnsons,"alternative, indie, experimental, folk, singer_songwriter, piano, indie_pop, male_vocalists, beautiful, mellow, chill"
The Softest Voice,Animal Collective,"indie, experimental, folk, acoustic, psychedelic, indie_pop, beautiful, psychedelic_rock"
Sweet Road,Animal Collective,"indie, experimental, folk, psychedelic, indie_pop"
Microcastle,Deerhunter,"indie, experimental, psychedelic, american, indie_pop, 00s"
Fury,Muse,"rock, alternative, alternative_rock, experimental, progressive_rock, british"
Little Brother,Grizzly Bear,"indie, experimental, folk"
Mote,Sonic Youth,"alternative, indie, experimental, 90s, post_punk, noise"
We Tigers,Animal Collective,"indie, experimental, folk, indie_rock, psychedelic, noise, avant_garde"
Tiny Paintings,Architecture in Helsinki,"indie, experimental, indie_pop"
Tremoloa Debut,Broken Social Scene,"alternative, indie, experimental, instrumental, 90s"
Germs,Yeasayer,"rock, experimental, psychedelic_rock, 00s"
Tourist,Julian Casablancas,"alternative, indie, experimental, 00s"
Goliath,The Mars Volta,"experimental, progressive_rock, psychedelic, psychedelic_rock"
Drove Through Ghosts to Get Here,65daysofstatic,"experimental, instrumental, post_rock"
In This Twilight,Nine Inch Nails,"experimental, industrial, beautiful"
"Frenchy, I'm Faking",Architecture in Helsinki,"indie, experimental, indie_pop"
Jesus Christ Was an Only Child,Modest Mouse,"rock, indie, experimental, indie_rock, progressive_rock, 90s"
Stagger Lee,Nick Cave & The Bad Seeds,"rock, alternative, alternative_rock, experimental, singer_songwriter, 80s, 90s, post_punk"
Carousels,Beirut,"indie, experimental, folk, singer_songwriter, american"
K-Hole,CocoRosie,"electronic, indie, female_vocalists, experimental, folk, psychedelic, trip_hop, beautiful, mellow"
Aberinkula,The Mars Volta,"experimental, progressive_rock, psychedelic, psychedelic_rock"
Bugman,Blur,"rock, alternative, indie, experimental, 90s, britpop, noise"
The Greater Good,Nine Inch Nails,"experimental, instrumental, industrial"
20 Dollar,M.I.A.,"electronic, female_vocalists, experimental, dance, hip_hop, electro, 00s, cover"
College,Animal Collective,"indie, experimental, folk, post_rock, beautiful, 00s, noise"
Rainbow,Battles,"experimental, instrumental, progressive_rock, post_rock, avant_garde"
Second Song,TV on the Radio,"indie, experimental, indie_rock, avant_garde"
Lemonade,CocoRosie,"indie, experimental, folk"
Say That,Toro y Moi,"electronic, experimental, psychedelic, funk, american, electro, indie_pop"
Born Free,M.I.A.,"electronic, female_vocalists, experimental, punk, hip_hop, electro"
Shambala,Beastie Boys,"experimental, instrumental, chillout, rap, 90s, hip_hop, funk"
Lips,The xx,experimental
Straight A's,Sleigh Bells,"experimental, noise"
Kappa,Mogwai,"experimental, instrumental, post_rock"
Colorado,Grizzly Bear,"experimental, folk, psychedelic, piano, american, downtempo, love, beautiful, mellow"
Instrumental,The Microphones,"experimental, folk, instrumental, indie_pop, beautiful, mellow, chill"
Vicarious Atonement,The Mars Volta,"experimental, progressive_rock, psychedelic, psychedelic_rock"
Paperbag Writer,Radiohead,"electronic, alternative, alternative_rock, experimental, chillout"
Pneumonia,Björk,"electronic, alternative, female_vocalists, experimental, singer_songwriter, beautiful, avant_garde"
Interlude I,alt-J,"indie, experimental, folk"
No Need To Worry,Yeasayer,"rock, indie, experimental, indie_rock, psychedelic, post_rock, indie_pop, beautiful, psychedelic_rock, 00s"
Tetragrammaton,The Mars Volta,"experimental, progressive_rock, psychedelic, psychedelic_rock"
Jesus Loves Me,CocoRosie,"indie, female_vocalists, experimental, folk, mellow, chill"
Loba,Shakira,"electronic, pop, experimental, singer_songwriter, dance, love, beautiful, 00s"
Vermicide,The Mars Volta,"experimental, progressive_rock, psychedelic, psychedelic_rock"
If It Works,Tokyo Police Club,"indie, experimental, indie_rock, post_punk"
Shift,Grizzly Bear,"indie, experimental, folk, beautiful, 00s"
Headless Horseman,The Microphones,"indie, experimental, folk, chillout, acoustic, psychedelic, post_rock, downtempo, love, 00s, mellow, chill"
Marla,Grizzly Bear,"indie, experimental, folk, acoustic, piano, american, male_vocalists, love, beautiful, 00s, mellow"
Asilos Magdalena,The Mars Volta,"experimental, progressive_rock, acoustic, psychedelic, beautiful, psychedelic_rock"
Mouth Wooed Her,Animal Collective,"experimental, folk, acoustic, psychedelic, indie_pop, beautiful, 00s, guitar"
Locked,Four Tet,"electronic, experimental, instrumental, idm, chill"
Full of Fire,The Knife,"electronic, experimental, industrial, psychedelic, techno, electro, synthpop, swedish"
Forgiveness,Yeasayer,"experimental, indie_rock, psychedelic, psychedelic_rock"
Strange Reunions,Yeasayer,"indie, experimental, folk, indie_rock, psychedelic"
Slip Away,Perfume Genius,"indie, experimental"
Such Small Hands,La Dispute,"experimental, hardcore, post_hardcore, screamo"
Real Eyes,Quasimoto,"electronic, experimental, chillout, rap, hip_hop, trip_hop, downtempo, chill"
We Were Born the Mutants Again With Leafling,of Montreal,"indie, experimental, psychedelic, techno, indie_pop, love"
Mushroom,Can,"experimental, progressive_rock, psychedelic, german, 70s, psychedelic_rock, avant_garde"
Cinderella's Big Score,Sonic Youth,"alternative, alternative_rock, experimental, indie_rock, 90s, post_punk, noise"
Dark Star,Beck,"rock, alternative, experimental, singer_songwriter, hip_hop, funk, male_vocalists, beautiful, 00s"
I Am A Wicked Child,Radiohead,"rock, alternative, alternative_rock, experimental, blues, indie_pop, britpop"
Labyrinthian Pomp,of Montreal,"indie, experimental, psychedelic, indie_pop"
Juggernauts,Enter Shikari,"experimental, post_hardcore"
U Hurt Me,Burial,"experimental, idm"
Goin' Out West,Tom Waits,"rock, experimental, singer_songwriter, blues, 90s, male_vocalists, blues_rock, avant_garde"
Palo Alto,Radiohead,"rock, alternative, alternative_rock, experimental, 90s, britpop"
Misery Is a Butterfly,Blonde Redhead,"indie, female_vocalists, experimental, indie_rock, japanese, indie_pop, beautiful, mellow"
Doubt,Twenty One Pilots,"alternative, indie, experimental, indie_pop"
Dollhouse,Melanie Martinez,"alternative, indie, pop, experimental, chillout, american, indie_pop, rnb, beautiful, lounge, chill"
Grizelda,Yeasayer,"experimental, folk, indie_rock, american, mellow"
Silently,Blonde Redhead,"indie, female_vocalists, experimental, chillout, indie_pop, beautiful, chill"
Ruby Blue,Róisín Murphy,"electronic, female_vocalists, experimental, dance, soundtrack, 00s, avant_garde"
Free at Last,Antony and the Johnsons,"alternative, indie, experimental, folk, singer_songwriter, acoustic, american, beautiful, 00s, avant_garde"
Save Me From What I Want,St. Vincent,"indie, experimental, singer_songwriter, american, indie_pop, 00s, pop_rock, chill"
Ilyena,The Mars Volta,"experimental, progressive_rock, psychedelic, psychedelic_rock"
Detroit,Gorillaz,"electronic, experimental, instrumental, downtempo, chill"
As Far As I Can See,Phantogram,"electronic, experimental, trip_hop"
The Message,M.I.A.,"electronic, experimental, dance, hip_hop, electro"
Hallogallo,Neu!,"experimental, psychedelic, 70s"
Mondegreen,Yeasayer,"electronic, indie, experimental, folk, indie_rock, psychedelic, american, electro, indie_pop"
Shadow of a Doubt,Sonic Youth,"alternative, indie, experimental, 80s, post_punk, noise"
The Cemetery,Architecture in Helsinki,"electronic, indie, experimental, dance, indie_pop"
The Move,Beastie Boys,"experimental, rap, hip_hop"
Annie,Mac DeMarco,"rock, indie, experimental, folk, indie_rock, singer_songwriter, post_rock, post_punk, synthpop, chill, avant_garde"
Get Your Snack On,Amon Tobin,"electronic, experimental, trip_hop, downtempo, idm, drum_and_bass"
Jellybones,The Unicorns,"indie, experimental, chillout, indie_pop"
Pornography,The Cure,"experimental, 80s, psychedelic, new_wave, post_punk, gothic"
Chase Scene,Broken Social Scene,"indie, experimental, indie_rock"
Cellophane,FKA twigs,"electronic, alternative, experimental, soul, rnb, downtempo, chill"
Marriage,Gold Panda,"electronic, experimental, trip_hop, chill"
GNG BNG,Flying Lotus,"electronic, experimental, instrumental, hip_hop, electro, idm"
Woo,Rihanna,"electronic, alternative, pop, experimental, rnb"
Lipstick,Ariel Pink,"experimental, psychedelic, new_wave"
Milk Lizard,The Dillinger Escape Plan,"experimental, hard_rock, hardcore, metalcore, progressive_metal"
To Talk To You,PJ Harvey,"rock, alternative, female_vocalists, experimental, singer_songwriter, piano, 00s"
Tij,Battles,"experimental, instrumental, post_rock, avant_garde"
Lilies,Bat for Lashes,"female_vocalists, experimental, singer_songwriter, chillout, beautiful, synthpop, chill"
Waste It On,Silversun Pickups,"rock, alternative, indie, experimental, indie_rock, 00s, mellow"
Shoot,Sonic Youth,"rock, alternative, indie, experimental, indie_rock, post_punk"
Meccamputechture,The Mars Volta,"experimental, progressive_rock, psychedelic, psychedelic_rock"
Saved by Old Times,Deerhunter,"indie, experimental, punk, psychedelic, american, post_punk, indie_pop, psychedelic_rock, 00s"
Rapture Rapes the Muses,of Montreal,"indie, experimental, dance, psychedelic, indie_pop"
Bad Things,Cults,"indie, experimental, soul, indie_pop, love, psychedelic_rock, mellow"
Mercenary,Crystal Castles,"electronic, experimental, electro, synthpop"
Random Firl,Late of the Pier,"electronic, indie, experimental, electro, love"
Fix It,Grizzly Bear,"rock, indie, experimental, folk, american"
Thunderbolt,Björk,"electronic, alternative, experimental, avant_garde"
Carpe,Russian Circles,"experimental, instrumental, post_rock"
Osaka Loop Line,Discovery,"electronic, experimental, indie_pop, 00s"
Skanky Panky,Kid Koala,"experimental, hip_hop, trip_hop, chill, ska"
Message Man,Twenty One Pilots,"experimental, indie_pop"
Earth Died Screaming,Tom Waits,"rock, experimental, folk, singer_songwriter, soundtrack, blues, 90s"
Await Rescue,65daysofstatic,"electronic, experimental, instrumental, post_rock"
Cripple and the Starfish,Antony and the Johnsons,"alternative, indie, experimental, folk, singer_songwriter, indie_pop, beautiful, mellow"
Bucephalus Bouncing Ball,Aphex Twin,"electronic, experimental, soundtrack, idm, drum_and_bass"
Neighbour Riffs,Surfer Blood,"indie, experimental, instrumental, american, indie_pop"
Need To Shout,Architecture in Helsinki,"indie, experimental, indie_pop, chill"
The Neighbors,St. Vincent,"rock, alternative, indie, female_vocalists, experimental, american, indie_pop, 00s, pop_rock"
Tourniquet Man,The Mars Volta,"experimental, progressive_rock, psychedelic_rock"
"I Swallowed Hard, Like I Understood",65daysofstatic,"experimental, instrumental, post_rock"
Ghost Rider,Suicide,"experimental, punk, industrial, new_wave, post_punk, 70s"
The Bride,Dirty Projectors,"experimental, folk, indie_rock, american, indie_pop, 00s"
Intro//A Cosmic Drama,Flying Lotus,"experimental, hip_hop, idm, chill"
Tears in the Typing Pool,Broadcast,"electronic, indie, female_vocalists, experimental, acoustic, indie_pop, beautiful, mellow"
Bluebells,Patrick Wolf,"alternative, indie, experimental, folk, singer_songwriter, british, indie_pop, love, beautiful, 00s"
Another Code Against the Gone,65daysofstatic,"experimental, instrumental, post_rock"
Ghost Mountain,The Unicorns,"electronic, indie, experimental, indie_pop, 00s, mellow"
The Information,Beck,"rock, electronic, alternative, experimental, singer_songwriter, psychedelic, american, 00s"
The Fix,Minus the Bear,"indie, experimental, indie_rock, chill"
A Tender History In Rust,Do Make Say Think,"experimental, instrumental, post_rock, mellow, chill"
We've Been Had,The Walkmen,"indie, experimental, indie_rock, singer_songwriter, piano, mellow"
Black Rainbow,St. Vincent,"indie, female_vocalists, experimental, indie_rock, american, indie_pop, 00s, pop_rock"
Way Down in the Hole,Tom Waits,"experimental, folk, singer_songwriter, 80s, blues, male_vocalists"
Touched,Vast,"rock, alternative, alternative_rock, experimental, progressive_rock, industrial, soundtrack, 90s"
Wait for the Wintertime,Yeasayer,"experimental, folk, psychedelic, american, psychedelic_rock, 00s"
Song of Joy,Nick Cave & The Bad Seeds,"rock, alternative, alternative_rock, experimental, singer_songwriter, 90s"
"Neither of Us, Uncertainly",Deerhunter,"rock, alternative, indie, experimental, indie_rock, psychedelic, indie_pop, downtempo, psychedelic_rock, 00s"
Stork & Owl,TV on the Radio,"alternative, indie, experimental, indie_rock, chillout, downtempo, beautiful, 00s"
Butterscotch,CocoRosie,"electronic, alternative, indie, female_vocalists, experimental, folk, chillout, love, mellow"
Forecast Fascist Future,of Montreal,"indie, experimental, dance, psychedelic, indie_pop"
Shelia,Atlas Sound,"indie, experimental, indie_rock, chillout, psychedelic, love, 00s"
Life of the Party,The Weeknd,"experimental, soul, trip_hop, indie_pop, rnb"
No One Does It Like You,Department of Eagles,"indie, experimental, folk, american, 00s"
Lovely Allen,Holy Fuck,"electronic, indie, experimental, instrumental, dance, post_rock"
I Don't Wanna Grow Up,Tom Waits,"alternative, experimental, folk, singer_songwriter, blues, 90s"
Useful Chamber,Dirty Projectors,"experimental, folk, indie_rock, psychedelic, indie_pop, beautiful, 00s, guitar"
54 Cymru Beats,Aphex Twin,"electronic, experimental, techno, idm, drum_and_bass"
Persephone,Cocteau Twins,"female_vocalists, experimental, 80s, new_wave, post_punk, beautiful, gothic"
Logan Rock Witch,Aphex Twin,"electronic, experimental, instrumental, chillout, electro, idm"
Chanbara,At the Drive-In,"experimental, emo, post_hardcore"
Surf Solar,Fuck Buttons,"electronic, experimental, instrumental, psychedelic, trance, techno, 00s, noise"
The Bears Are Coming,Late of the Pier,"electronic, indie, experimental, electro, 00s"
Merge,Grizzly Bear,"indie, experimental, folk, instrumental, american"
Her,"Tyler, the Creator","experimental, rap, hip_hop, american"
Irresistible,Deafheaven,"female_vocalists, experimental, instrumental, black_metal, post_rock, beautiful"
Motorcade,Beck,"alternative, experimental, singer_songwriter, american, electro, 00s"
1992,Blur,"rock, indie, alternative_rock, experimental, british, 90s, britpop"
Her Eyes Are Underneath the Ground,Antony and the Johnsons,"alternative, experimental, folk, singer_songwriter, piano, beautiful, mellow"
Messenger,Blonde Redhead,"indie, experimental, indie_rock, indie_pop, 00s, mellow"
Burn My Shadow,UNKLE,"electronic, alternative, experimental, trip_hop, downtempo, 00s"
Song to Sing When I'm Lonely,John Frusciante,"rock, alternative, experimental, singer_songwriter, chillout, beautiful, guitar"
I Need Somebody,The Stooges,"rock, experimental, punk, hard_rock, punk_rock, 70s, 60s, blues_rock"
Fix the Sky a Little,65daysofstatic,"experimental, instrumental, post_rock"
Whaddit I Done,Animal Collective,"indie, experimental, psychedelic, noise, avant_garde"
Waste of Time,MØ,"indie, experimental, chillout, electro, indie_pop, synthpop, chill"
Default This,65daysofstatic,"experimental, instrumental, post_rock, idm"
Death Rides A Horse,Russian Circles,"experimental, instrumental, progressive_rock, post_rock"
Plastic Beach (Feat. Mick Jones and Paul Simonon),Gorillaz,"electronic, alternative, experimental, british, hip_hop, trip_hop, electro, downtempo"
Hole,65daysofstatic,"experimental, instrumental, post_rock"
Purr,Sonic Youth,"rock, alternative, indie, alternative_rock, experimental, 90s, post_punk, grunge"
Radio Silence,James Blake,"indie, experimental, british, downtempo"
Jonathan,Fiona Apple,"alternative, experimental, singer_songwriter, piano, american, indie_pop, beautiful"
My Country,tUnE-yArDs,"indie, experimental, indie_rock, indie_pop"
Lunacy,Swans,"experimental, post_rock, post_punk"
American Life,Primus,"rock, alternative, experimental, progressive_rock, 90s, funk, psychedelic_rock, guitar, avant_garde"
Jesus Gonna Be Here,Tom Waits,"experimental, folk, singer_songwriter, blues, avant_garde"
Electric Blue,Arcade Fire,"electronic, alternative, experimental, synthpop"
Love You,Syd Barrett,"experimental, singer_songwriter, psychedelic, psychedelic_rock"
Secret Pint,Mogwai,"experimental, instrumental, chillout, post_rock"
How Near How Far,...And You Will Know Us by the Trail of Dead,"rock, indie, experimental, indie_rock, progressive_rock, post_rock, emo"
Keep Your Distance,Amon Tobin,"electronic, experimental, trip_hop, idm"
Install a Beak in the Heart That Clucks Time in Arabic,65daysofstatic,"experimental, instrumental, post_rock"
I'm Glad,Captain Beefheart & His Magic Band,"classic_rock, experimental, progressive_rock, soul, blues, psychedelic, 60s, love, psychedelic_rock, mellow, blues_rock"
Smokey Taboo,CocoRosie,"indie, experimental, folk, psychedelic"
Les OS,The Unicorns,"indie, experimental, indie_pop"
Computer Love,Kraftwerk,"electronic, experimental, 80s, german, electro, synthpop"
Cavalettas,The Mars Volta,"experimental, progressive_rock, psychedelic, psychedelic_rock"
(Something),The Microphones,"indie, experimental, folk, indie_rock"
Agadez,The Mars Volta,"experimental, progressive_rock, psychedelic, progressive_metal, psychedelic_rock"
30 Century Man,Scott Walker,"experimental, soundtrack, acoustic, 60s"
Keep Your Heart,TV on the Radio,"experimental, indie_rock, american, chill, avant_garde"
Dear Mr. Supercomputer,Sufjan Stevens,"indie, experimental, folk, acoustic, indie_pop"
Lord Leopard,Caribou,"electronic, experimental, instrumental, trip_hop"
On Dancefloors,Metronomy,"electronic, indie, experimental, electro, synthpop"
Pree-Sisters Swallowing a Donkey's Eye,Neutral Milk Hotel,"indie, experimental, folk, indie_rock, instrumental, psychedelic, post_rock, american, psychedelic_rock, noise"
Tightrope,Yeasayer,"rock, indie, pop, experimental, folk, psychedelic, indie_pop, love, psychedelic_rock, 00s, mellow"
Dirty Love,Frank Zappa,"rock, classic_rock, experimental, progressive_rock, psychedelic, 70s, psychedelic_rock, avant_garde"
Aren't We All Running?,65daysofstatic,"experimental, instrumental, post_rock"
Joe's Waltz,The Dodos,"indie, experimental, folk, american"
Gold Day,Sparklehorse,"alternative, indie, experimental, mellow"
Ice Monster,Minus the Bear,"indie, experimental, indie_rock, indie_pop, mellow"
Fotzepolitic,Cocteau Twins,"female_vocalists, experimental, post_punk, mellow"
Stereo Sanctity,Sonic Youth,"alternative, indie, alternative_rock, experimental, 80s, american, post_punk, grunge, noise"
The Music Scene,Blockhead,"electronic, experimental, instrumental, chillout, psychedelic, hip_hop, trip_hop, downtempo, lounge, chill"
Karmageddon,M.I.A.,"experimental, hip_hop, electro"
Rave On,Cults,"indie, experimental, indie_pop"
House,Kindness,"indie, experimental, british, piano, downtempo, synthpop"
At the Hop,Devendra Banhart,"experimental, folk, singer_songwriter, acoustic, love, mellow, chill"
Typical,Mutemath,"rock, alternative, alternative_rock, experimental, britpop"
I Am Bored,The Microphones,"indie, experimental, folk, 90s, indie_pop"
The Curse of Millhaven,Nick Cave & The Bad Seeds,"alternative, alternative_rock, experimental, folk, singer_songwriter, 90s, post_punk"
Cheree,Suicide,"electronic, experimental, new_wave, post_punk, 70s, synthpop"
Chelsea Girls,Nico,"alternative, female_vocalists, experimental, folk, psychedelic, german, 60s"
1970,The Stooges,"experimental, punk, punk_rock, 70s"
Lethargica,Meshuggah,"experimental, death_metal, progressive_metal"
Youth Against Fascism,Sonic Youth,"rock, alternative, indie, experimental, post_punk, grunge, noise"
High Road,Mastodon,"metal, experimental, heavy_metal, hardcore, thrash_metal, metalcore, post_rock, progressive_metal, post_hardcore, doom_metal"
The Bluebell,Patrick Wolf,"alternative, indie, experimental, folk, singer_songwriter, indie_pop"
It's That Time Again,The Dodos,"indie, experimental, folk, indie_rock, acoustic, american, indie_pop, 00s"
You Hid,Toro y Moi,"electronic, experimental, chillout, synthpop, mellow, chill"
Zodiac,God Is An Astronaut,"experimental, instrumental, post_rock"
Hot Tent Blues,Late of the Pier,"electronic, alternative, indie, experimental, instrumental, british, 00s"
Caramel,Blur,"indie, experimental, british, psychedelic, post_rock, britpop, mellow"
Bishop's Robes,Radiohead,"alternative, experimental, britpop, mellow"
Be Gone,Brand New,"alternative, indie, experimental, blues, emo"
Sleepy Dinosaur,Flying Lotus,"electronic, experimental, instrumental, hip_hop, trip_hop, idm"
On the Strip,Sonic Youth,"rock, alternative, indie, alternative_rock, experimental, american, post_punk, grunge, noise, avant_garde"
Askepios,The Mars Volta,"experimental, progressive_rock, psychedelic_rock"
Fall In Love With Me,Iggy Pop,"rock, experimental, punk, punk_rock, american, post_punk, 70s, male_vocalists, love"
Let's Get Known,The Unicorns,"indie, experimental, indie_pop"
Beach,Mew,"alternative, indie, experimental"
Eli,Caribou,"electronic, experimental, chillout, psychedelic, indie_pop, psychedelic_rock, chill"
Micah,Russian Circles,"experimental, instrumental, post_rock"
No Sleep Tonight,Enter Shikari,"experimental, post_hardcore, screamo"
Teflon,The Mars Volta,"rock, experimental, progressive_rock, psychedelic_rock, 00s"
The Sparrow Looks Up at the Machine,The Flaming Lips,"experimental, progressive_rock, psychedelic, american, psychedelic_rock, 00s"
65 Doesn't Understand You,65daysofstatic,"experimental, instrumental, post_rock, noise"
Blue Flowers,Dr. Octagon,"experimental, rap, hip_hop, trip_hop"
Perfection,Oh Land,"electronic, alternative, female_vocalists, experimental, chillout, trip_hop, indie_pop, synthpop"
Jonny Sniper,Enter Shikari,"electronic, experimental, hardcore, emo, post_hardcore, screamo"
Rite of Spring,Angels & Airwaves,"rock, alternative, alternative_rock, experimental, love, pop_rock"
The Crying Light,Antony and the Johnsons,"alternative, indie, experimental, folk, singer_songwriter"
Sun in the Morning,Future Islands,"electronic, experimental, american, indie_pop"
And Me,Beastie Boys,"experimental, rap, hip_hop, trip_hop"
Lopsided,At the Drive-In,"rock, experimental, punk, hardcore, emo, post_hardcore"
Caladan,Grimes,"electronic, experimental, dark_ambient, noise"
Desiree,Caribou,"electronic, indie, experimental, instrumental, indie_pop, idm"
El Ciervo Vulnerado,The Mars Volta,"experimental, progressive_rock, psychedelic, psychedelic_rock"
Catherine,PJ Harvey,"alternative, female_vocalists, experimental, singer_songwriter, love"
Blind Mary,Gnarls Barkley,"experimental, soul, hip_hop, funk, 00s"
Red Cave,Yeasayer,"alternative, indie, experimental, folk, psychedelic, 00s"
Yeti,Caribou,"electronic, indie, experimental, instrumental, psychedelic, indie_pop"
Paint The Rust,The Dodos,"indie, experimental, folk, indie_rock, american, 00s"
Corporeal,Broadcast,"electronic, indie, experimental, post_rock, indie_pop, love"
Psychopath,St. Vincent,"electronic, alternative, experimental, post_punk, indie_pop, pop_rock"
The Other,Isis,"experimental, post_rock, progressive_metal"
Professional Widow,Tori Amos,"rock, alternative, female_vocalists, experimental, singer_songwriter, house, piano, american"
Feathers,Coheed and Cambria,"experimental, progressive_rock, progressive_metal, emo, 00s"
Mean Low Water,65daysofstatic,"experimental, instrumental, post_rock"
Oh What A World,Rufus Wainwright,"alternative, indie, experimental, folk, singer_songwriter, male_vocalists"
Hold Music,Architecture in Helsinki,"indie, experimental, indie_pop"
The Fall of Math,65daysofstatic,"experimental, instrumental, post_rock"
Such A Scream,Tom Waits,"rock, experimental, blues, american, avant_garde"
This Cat Is a Landmine,65daysofstatic,"experimental, instrumental, post_rock"
Don't Love You,TV on the Radio,"indie, experimental, indie_rock, chillout, psychedelic, trip_hop, post_punk, 00s, chill, avant_garde"
Taking Control,Aphex Twin,"electronic, experimental, techno, electro, idm, drum_and_bass"
Jizzlobber,Faith No More,"rock, metal, alternative_rock, experimental, progressive_metal"
The Final Sound,The Cure,"experimental, instrumental, 80s, psychedelic, new_wave, piano, post_punk, gothic_metal, gothic"
Do the Strand,Roxy Music,"rock, experimental, progressive_rock, new_wave, 70s"
Les Grandes Marches,Moderat,"electronic, experimental, instrumental, german, electro, idm"
The End Of You Too,Metronomy,"electronic, experimental, instrumental, electro, synthpop"
Ocean,The Velvet Underground,"rock, experimental, chillout, psychedelic, post_rock, 70s, 60s, psychedelic_rock, avant_garde"
VW,Late of the Pier,"electronic, indie, experimental, instrumental, electro, 00s"
Service Bell,Grizzly Bear,"indie, experimental, folk, acoustic"
Borders,M.I.A.,"experimental, rap, hip_hop"
Youngblood,Russian Circles,"experimental, instrumental, post_rock"
Map,The Microphones,"electronic, alternative, indie, experimental, folk, psychedelic, 00s"
Hallo Spaceboy,David Bowie,"rock, electronic, alternative, experimental, industrial, 90s"
Bird,The Knife,"electronic, experimental, electro, synthpop, swedish"
Grip Like A Vice,The Go! Team,"electronic, indie, experimental, dance, hip_hop, funk, indie_pop, 00s"
Throwin' Shapes,Minus the Bear,"alternative, indie, experimental, progressive_rock, acoustic, indie_pop, male_vocalists"
Solitaire,The Notwist,"electronic, indie, experimental, post_rock, german"
Open Book,Gnarls Barkley,"experimental, soul, hip_hop, funk, trip_hop, 00s"
King for a Day,Faith No More,"rock, alternative, metal, alternative_rock, experimental"
The Last Home Recording,65daysofstatic,"experimental, instrumental, post_rock"
Universe,Scars on Broadway,"rock, alternative_rock, experimental, nu_metal"
Death Is Not the End,Nick Cave & The Bad Seeds,"alternative, alternative_rock, experimental, cover"
With Twilight as My Guide,The Mars Volta,"experimental, progressive_rock, acoustic, psychedelic, psychedelic_rock"
Your Pretty Face Is Going to Hell,The Stooges,"rock, experimental, punk, punk_rock, 70s"
Unreachable,John Frusciante,"alternative, experimental, singer_songwriter, psychedelic, psychedelic_rock, 00s, guitar"
Nasty,The Prodigy,"electronic, alternative, experimental, industrial, techno"
Crow Jane,Nick Cave & The Bad Seeds,"rock, alternative, alternative_rock, experimental, singer_songwriter"
False Light,Isis,"experimental, instrumental, hardcore, post_rock, progressive_metal"
In Illusions Of Order,Red Sparowes,"experimental, instrumental, post_rock"
Song To The Siren,John Frusciante,"electronic, experimental, progressive_rock, psychedelic, american, downtempo, 00s, cover"
The Sequel,St. Vincent,"indie, female_vocalists, experimental, folk, american, indie_pop, 00s, pop_rock"
Matador,Arctic Monkeys,"rock, alternative, indie, experimental, indie_rock, british, 00s"
Coal To Diamonds,Gossip,"rock, experimental, blues, country"
I Want Your Love,Chromatics,"electronic, experimental, new_wave, american, post_punk, electro, 00s, synthpop, chill"
Dez Moines,The Devil Wears Prada,"experimental, death_metal, hardcore, metalcore, post_hardcore, screamo"
Main Theme,Pink Floyd,"experimental, instrumental, progressive_rock, psychedelic, 60s, psychedelic_rock"
Sad Day,FKA twigs,"electronic, alternative, indie, female_vocalists, experimental"
Collector,Here We Go Magic,"indie, experimental, psychedelic, american, indie_pop"
